设备名称,品牌档位,规格型号,单位,参考单价(元),备注
UPS主机,国产一线,40kVA 在线式塔式机,台,42000,含输出隔离变压器另计
UPS主机,国产一线,60kVA 在线式塔式机,台,58000,
UPS主机,国产一线,100kVA 模块化(满配),套,96000,机框+5个20kVA模块
UPS主机,进口/合资,40kVA 在线式,台,68000,维谛/伊顿/施耐德档位
蓄电池,国产主流,12V100Ah 阀控式铅酸,只,680,双登/圣阳/理士档位
蓄电池,国产主流,12V150Ah 阀控式铅酸,只,950,
电池柜,国产,A32标准电池柜(含连接条),台,4500,每柜装32只100Ah
锂电池柜,国产一线,51.2V100Ah磷酸铁锂模块,模块,5800,按串并联数量配置
精密空调,国产一线,25kW 风冷下送风(含室外机),套,72000,科华/依米康/佳力图档位
精密空调,国产一线,40kW 风冷下送风(含室外机),套,112000,
精密空调,国产一线,60kW 风冷下送风(含室外机),套,156000,
精密空调,进口/合资,40kW 风冷下送风,套,165000,维谛/施耐德档位
列间空调,国产一线,25kW 风冷列间,套,86000,封闭通道方案配套
服务器机柜,国产,42U 600×1100 网孔门,台,3200,含层板理线
智能PDU,国产,32A 三相 21位监测型,条,1850,按A/B路双配
基础PDU,国产,32A 单相 16位,条,750,
配电柜/列头柜,国产,UPS输出列头柜(双路24回路),台,28000,含智能监测仪表
柴油发电机,国产合资,100kW 静音箱式,台,135000,含ATS另计约2.5万
气体消防,国产,柜式七氟丙烷90L(含药剂报警),套,38000,单防护区≤100m³
气体消防,国产,柜式七氟丙烷120L,套,46000,
火灾报警联动,国产,机房专用(烟温感+声光+控制器),套,16000,
动环监控,国产,中小机房标准套餐(20点位),套,35000,含温湿度/漏水/UPS/空调接入
动环监控扩展,国产,每机柜增配点位,柜,600,
门禁系统,国产,单门刷卡+指纹,套,3500,
视频监控,国产,4路高清(含NVR),套,6500,
防静电地板,国产,全钢600×600(含安装),平方米,320,架空300-400mm
机房装修,综合,墙顶面彩钢板+保温+防尘,平方米,850,含防火门按面积摊销
桥架线槽,国产,网格桥架200×100(含安装),米,180,
综合布线,国产,6A类24口配线架(含模块跳线),套,2800,每机柜按1套估
等电位接地,综合,铜排网格+接地引下(中小机房),项,15000,接地电阻≤1Ω
浪涌保护,国产,B+C级电源防雷,套,8500,
安装调试,综合,设备安装/接线/调试/培训,项,设备价10%,不含吊装与特殊搬运
吊装搬运,综合,2米级设备无电梯楼层吊装,次,8000,按楼层与路线现场核定
